uuid,glyphs,classes,place-name,county-iv,county,hundred-iv,hundred,coordinates-iv,coordinates,WKT
IV1680-316-16,⛪,parish,"Sidenham North",Devon,Devon,Leston,Cliston,"50 45 4 23W","50.75 -4.38","POINT(-4.38 50.75)"
IV1680-316-17,,,"Sidenham South",Devon,Devon,Lifton,Lifton,"50 41 4 24W","50.68 -4.4","POINT(-4.4 50.68)"
IV1680-316-18,①,settlement-gentlemen-1,Sidford,Southampton,Hampshire,Mansbridg,Mainsbridge,"51 00 1 22W","51 -1.36","POINT(-1.36 51)"
IV1680-316-19,①,settlement-gentlemen-1,"Sidington Mary",Glocester,Gloucestershire,Crothorn,Crowthorne,"51 44 1 52W","51.73 -1.86","POINT(-1.86 51.73)"
IV1680-316-20,⛪,parish,"Sidington Peter",Glocester,Gloucestershire,Crothorn,Crowthorne,"51 42 1 53W","51.7 -1.88","POINT(-1.88 51.7)"
IV1680-316-21,⛪,parish,Sidlin,Dorset,Dorset,Whitway,Whiteway,"50 52 2 36W","50.86 -2.6","POINT(-2.6 50.86)"
IV1680-316-22,①,settlement-gentlemen-1,Sidlum,Surry,Surrey,Reygate,Reigate,"51 14 0 10W","51.23 -0.16","POINT(-0.16 51.23)"
IV1680-316-23,,,Sidley,Sussex,Sussex,"Hastings R.","Hastings Rape","50 51 0 24E","50.85 0.4","POINT(0.4 50.85)"
IV1680-316-24,①,settlement-gentlemen-1,Sidmanton,Southampton,Hampshire,"Kings clere",Kingsclere,"51 22 1 16W","51.36 -1.26","POINT(-1.26 51.36)"
IV1680-316-25,②⚓=,settlement-gentlemen-2|seaport|direction|market,SIDMOUTH,Devon,Devon,"E. Budley","East Budleigh","50 43 3 19W","50.71 -3.31","POINT(-3.31 50.71)"
IV1680-316-26,②,settlement-gentlemen-2,Sidner,Kent,Kent,"Scray Lath","Scray Lath","51 10 0 43E","51.16 0.71","POINT(0.71 51.16)"
IV1680-316-27,,,Sidney,Surry,Surrey,Blackheath,Blackheath,"51 08 0 29W","51.13 -0.48","POINT(-0.48 51.13)"
IV1680-316-28,③⛨✋⸸❋,settlement-gentlemen-3+|seat-baronet|seat-knight|society,"Sidney Colledg",Cambridg,Cambridgeshire,"Town of Camb","Town Of Cambridge","52 13 0 07E","52.21 0.11","POINT(0.11 52.21)"
IV1680-316-29,,,Sidney,Sussex,Sussex,"Lewis Rape","Lewes Rape","51 04 0 09W","51.06 -0.15","POINT(-0.15 51.06)"
IV1680-316-30,①,settlement-gentlemen-1,Siglesthorp,"York E.R.","Yorkshire East Riding",Holderness,Osgoldcross,"53 58 0 03W","53.96 -0.05","POINT(-0.05 53.96)"
IV1680-316-31,①,settlement-gentlemen-1,Sighill,Northumberl.,Northumberland,"Castle Ward","Castle Ward","55 07 1 05W","55.11 -1.08","POINT(-1.08 55.11)"
IV1680-316-32,①,settlement-gentlemen-1,Siginston,Glamorgan,Glamorganshire,Cowbridg,Cowbridge,"51 29 3 33W","51.48 -3.55","POINT(-3.55 51.48)"
IV1680-316-33,⛪,parish,Sigston,"York N.R.","Yorkshire North Riding",Allerton,Allerton,"54 22 1 02W","54.36 -1.03","POINT(-1.03 54.36)"
IV1680-316-34,ʘ,seat-gentleman,"Sigston Castle","York N.R.","Yorkshire North Riding",Allerton,Allerton,"54 23 1 03W","54.38 -1.05","POINT(-1.05 54.38)"
IV1680-316-35,,,Sike,Pembrock,Pembrokeshire,Rose,Roose,"51 54 4 55W","51.9 -4.91","POINT(-4.91 51.9)"
IV1680-316-36,②,settlement-gentlemen-2,"Sike house","York W.R.","Yorkshire West Riding",Straford,Strafforth,"53 42 0 48W","53.7 -0.8","POINT(-0.8 53.7)"
IV1680-316-37,✋°②,settlement-baronet|settlement-gentlemen-2,Silchester,Southampton,Hampshire,Holdshot,Holdshott,"51 23 1 00W","51.38 -1","POINT(-1 51.38)"
IV1680-316-38,②,settlement-gentlemen-2,Sileby,Leicester,Leicestershire,"E. Goscote","East Goscote","52 48 0 38W","52.8 -0.63","POINT(-0.63 52.8)"
IV1680-316-39,①,settlement-gentlemen-1,Silham,Barks,Berkshire,Barnersh,Faircross,"51 33 0 42W","51.55 -0.7","POINT(-0.7 51.55)"
IV1680-316-40,②,settlement-gentlemen-2,Silkeston,"York W.R.","Yorkshire West Riding",Staincross,Staincross,"53 36 1 22W","53.6 -1.36","POINT(-1.36 53.6)"
IV1680-316-41,②,settlement-gentlemen-2,Silkesworth,Durham,Durham,"Esington W.","Easington Ward","54 54 1 01W","54.9 -1.01","POINT(-1.01 54.9)"
IV1680-316-42,,,Silleth,Cumberland,Cumberland,"Allerdale B.","Allerdale Ward","54 58 2 56W","54.96 -2.93","POINT(-2.93 54.96)"
IV1680-316-43,②,settlement-gentlemen-2,Silsden,"York W.R.","Yorkshire West Riding",Staincliff,Staincliffe,"53 59 1 40W","53.98 -1.66","POINT(-1.66 53.98)"
IV1680-316-44,,,Silsey,"York N.R.","Yorkshire North Riding",Whitby,"Whitby Strand","54 22 0 16W","54.36 -0.26","POINT(-0.26 54.36)"
IV1680-316-45,✋°①,settlement-baronet|settlement-gentlemen-1,Silton,Dorset,Dorset,Redlane,Redlane,"51 09 2 19W","51.15 -2.31","POINT(-2.31 51.15)"
IV1680-316-46,①,settlement-gentlemen-1,"Silton nether","York N.R.","Yorkshire North Riding",Burdforth,Strafforth,"54 21 1 00W","54.35 -1","POINT(-1 54.35)"
IV1680-316-47,,,"Silton over","York N.R.","Yorkshire North Riding",Burdforth,Strafforth,"54 22 0 59W","54.36 -0.98","POINT(-0.98 54.36)"
IV1680-316-48,,,"Silton Pannel","York N.R.","Yorkshire North Riding",Burdforth,Strafforth,"54 22 0 58W","54.36 -0.96","POINT(-0.96 54.36)"
IV1680-316-49,①,settlement-gentlemen-1,Silverdale,Lancaster,Lancashire,Loynsdale,"Lonsdale Ward","53 15 2 28W","53.25 -2.46","POINT(-2.46 53.25)"
IV1680-316-50,⛪,parish,Silverley,Cambridg,Cambridgeshire,Cheveley,Cheveley,"52 14 0 25E","52.23 0.41","POINT(0.41 52.23)"
IV1680-316-51,,,Silverside,Cumberland,Cumberland,"Eskdale Ward","Eskdale Ward","55 02 2 12W","55.03 -2.2","POINT(-2.2 55.03)"
IV1680-316-52,①,settlement-gentlemen-1,Silverstreet,Hartford,Hertfordshire,Hartford,Hertford,"51 43 0 03E","51.71 0.05","POINT(0.05 51.71)"
IV1680-316-53,②,settlement-gentlemen-2,Silverton,Devon,Devon,Hayrudg,Hayridge,"50 52 3 35W","50.86 -3.58","POINT(-3.58 50.86)"
IV1680-316-54,①,settlement-gentlemen-1,Silverton,Northampton,Northamptonshire,Norton,Norton,"52 08 0 59W","52.13 -0.98","POINT(-0.98 52.13)"
IV1680-316-55,①,settlement-gentlemen-1,Silvington,Salop,Shropshire,Overs,Overs,"52 27 2 31W","52.45 -2.51","POINT(-2.51 52.45)"
IV1680-316-56,①,settlement-gentlemen-1,Silvisho,Bedford,Bedfordshire,Flitt,Flitt,"52 03 0 24W","52.05 -0.4","POINT(-0.4 52.05)"
IV1680-316-57,,,Silyan,Cardigan,Cardiganshire,Moythen,Moyddyn,"52 14 4 00W","52.23 -4","POINT(-4 52.23)"
IV1680-316-58,①,settlement-gentlemen-1,Simondley,Darby,Derbyshire,"High Peak","High Peak","53 30 1 49W","53.5 -1.81","POINT(-1.81 53.5)"
IV1680-316-59,②,settlement-gentlemen-2,Simondsborough,Dorset,Dorset,Whitway,Whiteway,"50 50 2 54W","50.83 -2.9","POINT(-2.9 50.83)"
IV1680-316-60,⛪,parish,"Simonsburn Castle",Northumberl.,Northumberland,"Cocquetdal. W.","Coquetdale Ward","55 08 1 42W","55.13 -1.7","POINT(-1.7 55.13)"
IV1680-317-01,②,settlement-gentlemen-2,Simonshall,Glocester,Gloucestershire,Berkeley,Berkeley,"51 50 2 32W","51.83 -2.53","POINT(-2.53 51.83)"
IV1680-317-02,②,settlement-gentlemen-2,Simonston,Lancaster,Lancashire,Blackburn,Blackbourn,"53 51 2 06W","53.85 -2.1","POINT(-2.1 53.85)"
IV1680-317-03,①,settlement-gentlemen-1,Simonswood,Lancaster,Lancashire,"W. Darby","West Derby","53 29 2 39W","53.48 -2.65","POINT(-2.65 53.48)"
IV1680-317-04,②,settlement-gentlemen-2,Simpson,Buckingham,Buckinghamshire,Newport,Newport,"52 03 0 41W","52.05 -0.68","POINT(-0.68 52.05)"
IV1680-317-05,,,Simpston,Pembrock,Pembrokeshire,Rose,Roose,"51 58 4 56W","51.96 -4.93","POINT(-4.93 51.96)"
IV1680-317-06,ʘ,seat-gentleman,"Sinadon Castle",Carnarvan,Carnarvonshire,"Lechwed Rap.","Uwch Gorfai","53 26 3 42W","53.43 -3.7","POINT(-3.7 53.43)"
IV1680-317-07,①,settlement-gentlemen-1,Sinderby,"York N.R.","Yorkshire North Riding",Hallikeld,Hallikeld,"54 17 1 11W","54.28 -1.18","POINT(-1.18 54.28)"
IV1680-317-08,①,settlement-gentlemen-1,Sindser,Darby,Derbyshire,Appletree,Appletree,"52 57 1 23W","52.95 -1.38","POINT(-1.38 52.95)"
IV1680-317-09,,,Sindrop,Northumberl.,Northumberland,"Tindale Ward","Tindale Ward","54 56 1 46W","54.93 -1.76","POINT(-1.76 54.93)"
IV1680-317-10,,,Singlesale,Northampton,Northamptonshire,Nassaburgh,Nassaburgh,"52 35 0 05W","52.58 -0.08","POINT(-0.08 52.58)"
IV1680-317-11,⛪,parish,Singleton,Sussex,Sussex,"Chichester R.","Chichester Rape","50 57 0 44W","50.95 -0.73","POINT(-0.73 50.95)"
IV1680-317-12,①,settlement-gentlemen-1,"Singleton magna",Lancaster,Lancashire,Amounderness,Bassetlaw,"53 56 2 43W","53.93 -2.71","POINT(-2.71 53.93)"
IV1680-317-13,①,settlement-gentlemen-1,"Singleton parva",Lancaster,Lancashire,Amounderness,Bassetlaw,"53 56 2 44W","53.93 -2.73","POINT(-2.73 53.93)"
IV1680-317-14,①,settlement-gentlemen-1,Sinkleborough,Buckingham,Buckinghamshire,Colstow,Cottesloe,"52 00 0 46W","52 -0.76","POINT(-0.76 52)"
IV1680-317-15,,,Sinklees,Hartford,Hertfordshire,Cashio,Cashio,"51 41 0 18W","51.68 -0.3","POINT(-0.3 51.68)"
IV1680-317-16,,,Sinklees,Southampton,Hampshire,Waltham,Waltham,"50 58 1 07W","50.96 -1.11","POINT(-1.11 50.96)"
