uuid,glyphs,classes,place-name,county-iv,county,hundred-iv,hundred,coordinates-iv,coordinates,WKT
IV1680-001-01,①,settlement-gentlemen-1,"Abbas Comb",Somerset,Somerset,Horethorn,Horethorne,"51 04 2 24W","51.06 -2.4","POINT(-2.4 51.06)"
IV1680-001-02,①,settlement-gentlemen-1,Abberton,Worcester,Worcestershire,Parshore,Pershore,"52 11 1 51W","52.18 -1.85","POINT(-1.85 52.18)"
IV1680-001-03,①,settlement-gentlemen-1,Abberwick,Northumberl.,Northumberland,"Cocquetdale W.","Coquetdale Ward","55 25 1 12W","55.41 -1.2","POINT(-1.2 55.41)"
IV1680-001-04,①,settlement-gentlemen-1,Abbington,Northampton,Northamptonshire,Spelho,Spelhoe,"52 18 0 49W","52.3 -0.81","POINT(-0.81 52.3)"
IV1680-001-05,,,"Abborn Chappel","York E.R.","Yorkshire East Riding",Dickering,Pickering,"54 07 0 01E","54.11 0.01","POINT(0.01 54.11)"
IV1680-001-06,②,settlement-gentlemen-2,Abbots-Anne,Southampton,Hampshire,Andover,Andover,"51 14 1 27W","51.23 -1.45","POINT(-1.45 51.23)"
IV1680-001-07,②=,settlement-gentlemen-2|direction|market,ABBOTSBURY,Dorset,Dorset,Ugscomb,Uggscombe,"50 44 2 43W","50.73 -2.71","POINT(-2.71 50.73)"
IV1680-001-08,,,Abbotsbury,Hartford,Hertfordshire,Edwinstree,Edwinstree,"52 01 0 04E","52.01 0.06","POINT(0.06 52.01)"
IV1680-001-09,③⛨,settlement-gentlemen-3+,Abbots-Fee-Tything,Dorset,Dorset,Sherborn,Sherborne,"51 01 2 31W","51.01 -2.51","POINT(-2.51 51.01)"
IV1680-001-10,②,settlement-gentlemen-2,Abbotsham,Devon,Devon,Shebbear,Shebbear,"51 06 4 17W","51.1 -4.28","POINT(-4.28 51.1)"
IV1680-001-11,⛪,parish,Abbots-Leigh,Huntington,Huntingdonshire,Toseland,Toseland,"52 14 0 15W","52.23 -0.25","POINT(-0.25 52.23)"
IV1680-001-12,⸸°,settlement-knight,Abbots-Leigh,Somerset,Somerset,Abdick,Abdick,"51 01 3 02W","51.01 -3.03","POINT(-3.03 51.01)"
IV1680-001-13,②,settlement-gentlemen-2,Abbotstock,Dorset,Dorset,Bemister,Bemister,"50 52 2 51W","50.86 -2.85","POINT(-2.85 50.86)"
IV1680-001-14,①,settlement-gentlemen-1,Abbotston,Glocester,Gloucestershire,Pucklechurch,Pucklechurch,"51 31 2 31W","51.51 -2.51","POINT(-2.51 51.51)"
IV1680-001-15,⛪,parish,Abbotston,Southampton,Hampshire,Bunlesborow,Bountisborough,"51 10 1 05W","51.16 -1.08","POINT(-1.08 51.16)"
IV1680-001-16,②,settlement-gentlemen-2,Abbotston,Wilts,Wiltshire,Frustfield,Frustfield,"51 05 1 40W","51.08 -1.66","POINT(-1.66 51.08)"
IV1680-001-17,②,settlement-gentlemen-2,Abbots-Worthy,Southampton,Hampshire,Micheldever,Mitcheldever,"51 12 1 12W","51.2 -1.2","POINT(-1.2 51.2)"
IV1680-001-18,③,settlement-gentlemen-3,Abby-Foryate,Salop,Shropshire,Shrewsbury,Shrewsbury,"52 46 2 42W","52.76 -2.7","POINT(-2.7 52.76)"
IV1680-001-19,①,settlement-gentlemen-1,Abby-Gate,Leicester,Leicestershire,"W. Goscote","West Goscote","52 42 1 40W","52.7 -1.66","POINT(-1.66 52.7)"
IV1680-001-20,①,settlement-gentlemen-1,Abby-Green,Northumberl.,Northumberland,"Tindale Ward","Tindale Ward","55 13 1 40W","55.21 -1.66","POINT(-1.66 55.21)"
IV1680-001-21,①,settlement-gentlemen-1,Abby-Gren,Stafford,Staffordshire,Totmonslow,Totmonslow,"53 11 1 53W","53.18 -1.88","POINT(-1.88 53.18)"
IV1680-001-22,ʘ,seat-gentleman,Abcot,Salop,Shropshire,Purslow,Purslow,"52 26 2 54W","52.43 -2.9","POINT(-2.9 52.43)"
IV1680-001-23,,,Abdon,Salop,Shropshire,Munslow,Munslow,"52 30 2 30W","52.5 -2.5","POINT(-2.5 52.5)"
IV1680-001-24,,,Abenbury,Denbigh,Denbighshire,Bromfield,Bromfield,"53 09 2 53W","53.15 -2.88","POINT(-2.88 53.15)"
IV1680-001-25,①,settlement-gentlemen-1,"Aben Hall",Glocester,Gloucestershire,Briavel,"St Briavells","51 51 2 20W","51.85 -2.33","POINT(-2.33 51.85)"
IV1680-001-26,ʘ,seat-gentleman,Aberaman,Glamorgan,Glamorganshire,Miskin,Miskin,"51 48 3 25W","51.8 -3.41","POINT(-3.41 51.8)"
IV1680-001-27,,,Aberangel,Merioneth,Merionethshire,Mowthy,Ardudwy,"52 47 3 38W","52.78 -3.63","POINT(-3.63 52.78)"
IV1680-001-28,,,Aberarth,Cardigan,Cardiganshire,Llanylar,Llar,"52 22 4 07W","52.36 -4.11","POINT(-4.11 52.36)"
IV1680-001-29,⛪,parish,Aber-Avon,Glamorgan,Glamorganshire,Neath,Neath,"51 41 3 47W","51.68 -3.78","POINT(-3.78 51.68)"
IV1680-001-30,①,settlement-gentlemen-1,Aberbrayn,Brecknock,Brecknockshire,Devynock,Devynnock,"52 02 3 25W","52.03 -3.41","POINT(-3.41 52.03)"
IV1680-001-31,ʘ,seat-gentleman,Abercamlais,Brecknock,Brecknockshire,Devynock,Devynnock,"51 58 3 32W","51.96 -3.53","POINT(-3.53 51.96)"
IV1680-001-32,ʘ,seat-gentleman,Abercraven,Brecknock,Brecknockshire,Devynock,Devynnock,"51 58 3 31W","51.96 -3.51","POINT(-3.51 51.96)"
IV1680-001-33,ʘ,seat-gentleman,Abercundrick,Brecknock,Brecknockshire,Penkelly,Dungleddy,"52 00 3 20W","52 -3.33","POINT(-3.33 52)"
IV1680-001-34,②,settlement-gentlemen-2,Aberdare,Glamorgan,Glamorganshire,Miskin,Miskin,"51 48 3 25W","51.8 -3.41","POINT(-3.41 51.8)"
IV1680-001-35,①,settlement-gentlemen-1,Aberdaron,Carnarvan,Carnarvonshire,Cymytne,Commitmaen,"52 27 4 34W","52.45 -4.56","POINT(-4.56 52.45)"
IV1680-001-36,⛪,parish,Aberdaron,Carnarvan,Carnarvonshire,Cymytne,Commitmaen,"52 27 4 34W","52.45 -4.56","POINT(-4.56 52.45)"
IV1680-001-37,①,settlement-gentlemen-1,Aberdovey,Merioneth,Merionethshire,Ystimanuel,Estimaner,"52 38 3 57W","52.63 -3.95","POINT(-3.95 52.63)"
IV1680-001-38,①,settlement-gentlemen-1,Aberdow,Radnor,Radnorshire,Colwin,Colwyn,"52 09 3 15W","52.15 -3.25","POINT(-3.25 52.15)"
IV1680-001-39,⛪,parish,Aberech,Carnarvan,Carnarvonshire,Tinllain,Dinlaen,"53 04 4 15W","53.06 -4.25","POINT(-4.25 53.06)"
IV1680-001-40,①=,settlement-gentlemen-1|direction|market,ABERFORTH,"York W.R.","Yorkshire West Riding",Skirack,Skyrack,"53 53 1 04W","53.88 -1.06","POINT(-1.06 53.88)"
IV1680-001-41,①,settlement-gentlemen-1,Aberftaw,Anglesey,Anglesey,Meney,Menai,"53 25 4 23W","53.41 -4.38","POINT(-4.38 53.41)"
IV1680-001-42,①,settlement-gentlemen-1,Abergele,Denbigh,Denbighshire,Rosse,Roose,"53 25 3 26W","53.41 -3.43","POINT(-3.43 53.41)"
IV1680-001-43,,,Abergerlech,Carmarthen,Carmarthenshire,Cathinock,Cathinog,"52 06 4 01W","52.1 -4.01","POINT(-4.01 52.1)"
IV1680-001-44,③⛨=,settlement-gentlemen-3+|direction|market,ABERGEVENNY,Monmoth,Monmouthshire,Bergevenny,Abergavenny,"51 52 2 59W","51.86 -2.98","POINT(-2.98 51.86)"
IV1680-001-45,ʘ,seat-gentleman,"Abergevenny Priory",Monmoth,Monmouthshire,Bergevenny,Abergavenny,"51 52 2 59W","51.86 -2.98","POINT(-2.98 51.86)"
IV1680-001-46,⛪,parish,Aberguilly,Carmarthen,Carmarthenshire,Elluet,Elvet,"51 57 4 12W","51.95 -4.2","POINT(-4.2 51.95)"
IV1680-001-47,♗,seat-bishop,"Aberguilly House",Carmarthen,Carmarthenshire,Elluet,Elvet,"51 57 4 12W","51.95 -4.2","POINT(-4.2 51.95)"
IV1680-001-48,⛪,parish,Aberhavesp,Montgomery,Montgomeryshire,Kidriorn,Caereinion,"52 34 3 21W","52.56 -3.35","POINT(-3.35 52.56)"
IV1680-001-49,ʘ,seat-gentleman,"Aberhavesp House",Montgomery,Montgomeryshire,Kidriorn,Caereinion,"52 34 3 21W","52.56 -3.35","POINT(-3.35 52.56)"
IV1680-001-50,①,settlement-gentlemen-1,Aberisker,Brecknock,Brecknockshire,Merthyr,Merthyr,"52 02 3 24W","52.03 -3.4","POINT(-3.4 52.03)"
IV1680-001-51,②=,settlement-gentlemen-2|direction|market,ABERISTWITH,Cardigan,Cardiganshire,Llanylar,Llar,"52 31 3 59W","52.51 -3.98","POINT(-3.98 52.51)"
IV1680-001-52,②,settlement-gentlemen-2,Aberistwith,Monmoth,Monmouthshire,Bergevenny,Abergavenny,"51 47 3 02W","51.78 -3.03","POINT(-3.03 51.78)"
IV1680-001-53,,,Aberlevenny,Brecknock,Brecknockshire,Talgarth,Narberth,"52 21 2 16W","52.35 -2.26","POINT(-2.26 52.35)"
IV1680-001-54,①,settlement-gentlemen-1,Aberley,Worcester,Worcestershire,Doddington,Doddingtree,"52 21 2 16W","52.35 -2.26","POINT(-2.26 52.35)"
IV1680-001-55,ʘ,seat-gentleman,"Aberley Lodg",Worcester,Worcestershire,Doddington,Doddingtree,"52 21 2 15W","52.35 -2.25","POINT(-2.25 52.35)"
IV1680-001-56,✋,seat-baronet,Abermarlas,Carmarthen,Carmarthenshire,Cayo,Cayo,"52 04 3 53W","52.06 -3.88","POINT(-3.88 52.06)"
IV1680-001-57,⛪,parish,Abernant,Carmarthen,Carmarthenshire,Elluet,Elvet,"51 56 4 16W","51.93 -4.26","POINT(-4.26 51.93)"
IV1680-001-58,①,settlement-gentlemen-1,Aberporth,Cardigan,Cardiganshire,Tredroir,Troedyraur,"52 15 4 27W","52.25 -4.45","POINT(-4.45 52.25)"
IV1680-001-59,①,settlement-gentlemen-1,Abertannot,Salop,Shropshire,Oswestry,Oswestry,"52 51 3 06W","52.85 -3.1","POINT(-3.1 52.85)"
IV1680-001-60,①,settlement-gentlemen-1,"Aberthaw East",Glamorgan,Glamorganshire,Denispowis,"Dinas Powis","51 29 3 24W","51.48 -3.4","POINT(-3.4 51.48)"
IV1680-002-01,①,settlement-gentlemen-1,"Aberthaw West",Glamorgan,Glamorganshire,Cowbridg,Cowbridge,"51 59 3 25W","51.98 -3.41","POINT(-3.41 51.98)"
IV1680-002-02,①,settlement-gentlemen-1,Aberton,Essex,Essex,Winstree,Winstree,"51 55 0 56W","51.91 -0.93","POINT(-0.93 51.91)"
IV1680-002-03,①,settlement-gentlemen-1,"Abinger Lower",Surry,Surrey,Darking,Dorking,"51 14 0 21W","51.23 -0.35","POINT(-0.35 51.23)"
IV1680-002-04,①,settlement-gentlemen-1,"Abinger Upper",Surry,Surrey,Darking,Dorking,"51 14 0 20W","51.23 -0.33","POINT(-0.33 51.23)"
IV1680-002-05,③⛨(2)=,settlement-gentlemen-3+|parliament-2|direction|market,ABINGTON,Berks,Berkshire,Hormer,Hormer,"51 41 1 09W","51.68 -1.15","POINT(-1.15 51.68)"
IV1680-002-06,①,settlement-gentlemen-1,Abington,Cambridg,Cambridgeshire,Armingford,Armingford,"52 05 0 07W","52.08 -0.11","POINT(-0.11 52.08)"
IV1680-002-07,①,settlement-gentlemen-1,"Abington Magna",Cambridg,Cambridgeshire,Chilford,Chilford,"52 09 0 12E","52.15 0.2","POINT(0.2 52.15)"
IV1680-002-08,①,settlement-gentlemen-1,"Abington Parva",Cambridg,Cambridgeshire,Chilford,Chilford,"52 09 0 13E","52.15 0.21","POINT(0.21 52.15)"
IV1680-002-09,⛪,parish,Abingworth,Surry,Surrey,Godalming,Godalming,"51 11 0 34W","51.18 -0.56","POINT(-0.56 51.18)"
IV1680-002-10,①,settlement-gentlemen-1,Abkettleby,Leicester,Leicestershire,Framland,Framland,"52 52 0 48W","52.86 -0.8","POINT(-0.8 52.86)"
IV1680-002-11,①,settlement-gentlemen-1,Abington,Glocester,Gloucestershire,Britlesbarrow,"Brightwells Barrow","51 47 1 45W","51.78 -1.75","POINT(-1.75 51.78)"
IV1680-002-12,⛪,parish,Ablington,Wilts,Wiltshire,Ambresbury,Amesbury,"51 16 1 44W","51.26 -1.73","POINT(-1.73 51.26)"
IV1680-002-13,①,settlement-gentlemen-1,Abney,Darby,Derbyshire,Highpeak,"High Peak","53 24 1 32W","53.4 -1.53","POINT(-1.53 53.4)"
IV1680-002-14,②,settlement-gentlemen-2,Abornol,Sussex,Sussex,"Arundel Rape","Arundel Rape","51 04 0 29W","51.06 -0.48","POINT(-0.48 51.06)"
IV1680-002-15,,,Aborrows,Cornwal,Cornwall,Kerryer,"Allerdale Ward","50 31 5 22W","50.51 -5.36","POINT(-5.36 50.51)"
IV1680-002-16,①,settlement-gentlemen-1,Abram,Lancaster,Lancashire,"W. Darby","West Derby","53 35 2 26W","53.58 -2.43","POINT(-2.43 53.58)"
IV1680-002-17,③⛨,settlement-gentlemen-3+,"Abrey Hatch",Essex,Essex,Becontree,Becontree,"51 38 0 08E","51.63 0.13","POINT(0.13 51.63)"
IV1680-002-18,ʘ,seat-gentleman,Abrightlee,Salop,Shropshire,Shrewsbury,Shrewsbury,"52 49 2 43W","52.81 -2.71","POINT(-2.71 52.81)"
IV1680-002-19,ʘ,seat-gentleman,Abroke,Surry,Surrey,Emley,Elmbridge,"51 24 0 16W","51.4 -0.26","POINT(-0.26 51.4)"
IV1680-002-20,ʘ,seat-gentleman,Abscourt,Surry,Surrey,Emley,Elmbridge,"51 26 0 18W","51.43 -0.3","POINT(-0.3 51.43)"
IV1680-002-21,,,Absheales,Northumberl.,Northumberland,"Morpeth Ward","Morpeth Ward","55 16 1 15W","55.26 -1.25","POINT(-1.25 55.26)"
IV1680-002-22,,,Abshot,Southampton,Hampshire,Tichfield,Titchfield,"50 52 1 15W","50.86 -1.25","POINT(-1.25 50.86)"
IV1680-002-23,,,Abton,Salop,Shropshire,Wenlock,Wenlock,"52 30 2 36W","52.5 -2.6","POINT(-2.6 52.5)"
IV1680-002-24,,,Abury,Wilts,Wiltshire,Selkley,Selkley,"51 27 1 50W","51.45 -1.83","POINT(-1.83 51.45)"
IV1680-002-25,⛪,parish,Aby,Lincoln,Lincolnshire,Calceworth,Calceworth,"53 21 0 12E","53.35 0.2","POINT(0.2 53.35)"
IV1680-002-26,⛪,parish,Acaster,"York W.R.","Yorkshire West Riding",Barkston,Barkston,"53 56 0 51W","53.93 -0.85","POINT(-0.85 53.93)"
IV1680-002-27,①,settlement-gentlemen-1,Acaster-Over,"York E.R.","Yorkshire East Riding",Ansty,Barkston,"53 57 0 51W","53.95 -0.85","POINT(-0.85 53.95)"
IV1680-002-28,②,settlement-gentlemen-2,Accle,Norfolk,Norfolk,Blowfield,Blofield,"51 47 1 35E","51.78 1.58","POINT(1.58 51.78)"
IV1680-002-29,①,settlement-gentlemen-1,"Accrington New",Lancaster,Lancashire,Blackburn,Blackbourn,"53 52 2 08W","53.86 -2.13","POINT(-2.13 53.86)"
IV1680-002-30,①,settlement-gentlemen-1,"Accrington old",Lancaster,Lancashire,Blackburn,Blackbourn,"53 51 2 07W","53.85 -2.11","POINT(-2.11 53.85)"
IV1680-002-31,⛪,parish,Achurch,Northampton,Northamptonshire,Nawisford,Navisford,"52 27 0 26W","52.45 -0.43","POINT(-0.43 52.45)"
IV1680-002-32,①,settlement-gentlemen-1,Ackeld,Northumberl.,Northumberland,"Glendale W.","Glendale Ward","55 42 1 22W","55.7 -1.36","POINT(-1.36 55.7)"
IV1680-002-33,⛪,parish,Acklam,"York E.R.","Yorkshire East Riding",Buccroß,Buckrose,"54 06 0 33W","54.1 -0.55","POINT(-0.55 54.1)"
IV1680-002-34,⸸°,settlement-knight,Acklam,"York N.R.","Yorkshire North Riding",Langbargh,Langbaurgh,"54 34 0 54W","54.56 -0.9","POINT(-0.9 54.56)"
IV1680-002-35,①,settlement-gentlemen-1,Ackley,Bucks,Buckinghamshire,Buckingham,Buckingham,"52 03 0 51W","52.05 -0.85","POINT(-0.85 52.05)"
IV1680-002-36,②,settlement-gentlemen-2,Ackworth,"York W.R.","Yorkshire West Riding",Osgodcroß,Osgoldcross,"53 45 1 06W","53.75 -1.1","POINT(-1.1 53.75)"
IV1680-002-37,,,"Ackworth Halse","York W.R.","Yorkshire West Riding",Osgodcroß,Osgoldcross,"53 43 1 07W","53.71 -1.11","POINT(-1.11 53.71)"
IV1680-002-38,①,settlement-gentlemen-1,"Ackworth Lower","York W.R.","Yorkshire West Riding",Osgodcroß,Osgoldcross,"53 43 1 05W","53.71 -1.08","POINT(-1.08 53.71)"
IV1680-002-39,,,"Ackworth More","York W.R.","Yorkshire West Riding",Osgodcroß,Osgoldcross,"53 43 1 06W","53.71 -1.1","POINT(-1.1 53.71)"
IV1680-002-40,②,settlement-gentlemen-2,Acle,Glocester,Gloucestershire,Cheltenham,Cheltenham,"51 53 1 57W","51.88 -1.95","POINT(-1.95 51.88)"
IV1680-002-41,,,Acleton,Salop,Shropshire,Stottesdon,Stottesden,"52 36 2 18W","52.6 -2.3","POINT(-2.3 52.6)"
IV1680-002-42,③⛨,settlement-gentlemen-3+,Acliff,Durham,Durham,DarlingtonW.,"Darlington Ward","54 38 1 12W","54.63 -1.2","POINT(-1.2 54.63)"
IV1680-002-43,①,settlement-gentlemen-1,Acol,Kent,Kent,"Augustine L.","St Augustine Lath","51 22 1 17E","51.36 1.28","POINT(1.28 51.36)"
IV1680-002-44,①,settlement-gentlemen-1,Acomb,Northumberl.,Northumberland,"Tindale Ward","Tindale Ward","55 05 1 37W","55.08 -1.61","POINT(-1.61 55.08)"
IV1680-002-45,[B],seat-baron,Aconbury,Hereford,Herefordshire,Greytree,Greytree,"52 01 2 38W","52.01 -2.63","POINT(-2.63 52.01)"
IV1680-002-46,①,settlement-gentlemen-1,Acryse,Kent,Kent,"Shepway Lath","Shepway Lath","51 08 1 06E","51.13 1.1","POINT(1.1 51.13)"
IV1680-002-47,①,settlement-gentlemen-1,Acton,Chester,Cheshire,Edisbury,Eddisbury,"53 23 2 37W","53.38 -2.61","POINT(-2.61 53.38)"
IV1680-002-48,⛪,parish,Acton,Chester,Cheshire,Namptwich,Nantwich,"53 09 2 29W","53.15 -2.48","POINT(-2.48 53.15)"
IV1680-002-49,⛪,parish,Acton,Cumberland,Cumberland,CumberlandW.,"Cumberland Ward","54 58 2 43W","54.96 -2.71","POINT(-2.71 54.96)"
IV1680-002-50,ʘ,seat-gentleman,Acton,Denbigh,Denbighshire,Bromfield,Bromfield,"53 10 2 54W","53.16 -2.9","POINT(-2.9 53.16)"
IV1680-002-51,①,settlement-gentlemen-1,Acton,Glocester,Gloucestershire,Thornbury,Thornbury,"51 37 2 33W","51.61 -2.55","POINT(-2.55 51.61)"
IV1680-002-52,①,settlement-gentlemen-1,Acton,Kent,Kent,"Scray Lath","Scray Lath","51 10 0 43E","51.16 0.71","POINT(0.71 51.16)"
IV1680-002-53,①,settlement-gentlemen-1,Acton,Northumberl.,Northumberland,CocquetdaleW.,"Coquetdale Ward","55 22 1 10W","55.36 -1.16","POINT(-1.16 55.36)"
IV1680-002-54,,,Acton,Salop,Shropshire,Purslow,Purslow,"52 28 3 00W","52.46 -3","POINT(-3 52.46)"
IV1680-002-55,①,settlement-gentlemen-1,Acton,Stafford,Staffordshire,Pirehill,Pirehill,"53 02 2 09W","53.03 -2.15","POINT(-2.15 53.03)"
IV1680-002-56,②,settlement-gentlemen-2,Acton,Suffolk,Suffolk,Babergh,"Bramber Rape","52 08 0 45E","52.13 0.75","POINT(0.75 52.13)"
IV1680-002-57,①,settlement-gentlemen-1,"Acton Beauchamp",Worcester,Worcestershire,Worcester,"City Of Worcester","52 15 1 29W","52.25 -1.48","POINT(-1.48 52.25)"
IV1680-002-58,①,settlement-gentlemen-1,"Acton Burnel",Salop,Shropshire,Condover,Condover,"52 39 2 38W","52.65 -2.63","POINT(-2.63 52.65)"
IV1680-002-59,✋°③⛨⸸,settlement-baronet|settlement-gentlemen-3+|seat-knight,"Acton East",Midlesex,Middlesex,Finsbury,Westminster,"51 33 0 10W","51.55 -0.16","POINT(-0.16 51.55)"
IV1680-002-60,,,"Acton Grange",Chester,Cheshire,Bucklom,Bucklow,"53 28 2 26W","53.46 -2.43","POINT(-2.43 53.46)"
IV1680-003-01,①,settlement-gentlemen-1,"Acton Higher",Glocester,Gloucestershire,Grombaldash,"Grumbalds Ash","51 37 2 23W","51.61 -2.38","POINT(-2.38 51.61)"
IV1680-003-02,✋,seat-baronet,"Acton Reynold",Salop,Shropshire,Pim-hill,Pimhill,"52 52 2 40W","52.86 -2.66","POINT(-2.66 52.86)"
IV1680-003-03,⛪,parish,"Acton Scot",Salop,Shropshire,Munslow,Munslow,"52 32 2 46W","52.53 -2.76","POINT(-2.76 52.53)"
IV1680-003-04,①,settlement-gentlemen-1,"Acton Trussell",Stafford,Staffordshire,Cudleston,Cuttlestone,"52 50 2 03W","52.83 -2.05","POINT(-2.05 52.83)"
IV1680-003-05,✋,seat-baronet,"Acton Turfield",Glocester,Gloucestershire,Grombaldash,"Grumbalds Ash","51 34 2 23W","51.56 -2.38","POINT(-2.38 51.56)"
IV1680-003-06,✋°③⛨⸸,settlement-baronet|settlement-gentlemen-3+|seat-knight,"Acton West",Midlesex,Middlesex,Finsbury,Westminster,"51 33 0 11W","51.55 -0.18","POINT(-0.18 51.55)"
IV1680-003-07,,,"Adams Chappel",Dorset,Dorset,Rowbarrow,Rowbarrow,"50 38 2 08W","50.63 -2.13","POINT(-2.13 50.63)"
IV1680-003-08,①,settlement-gentlemen-1,Adbaston,Stafford,Staffordshire,Pire-hill,Pirehill,"52 15 2 17W","52.25 -2.28","POINT(-2.28 52.25)"
IV1680-003-09,,,Adber,Somerset,Somerset,Horethorn,Horethorne,"51 02 2 34W","51.03 -2.56","POINT(-2.56 51.03)"
IV1680-003-10,⛪,parish,Adbolton,Nottingham,Nottinghamshire,Bingham,Bingham,"52 59 0 51W","52.98 -0.85","POINT(-0.85 52.98)"
IV1680-003-11,,,Adcot,Salop,Shropshire,Pim-hill,Pimhill,"52 54 2 44W","52.9 -2.73","POINT(-2.73 52.9)"
IV1680-003-12,✋°②,settlement-baronet|settlement-gentlemen-2,Adderbury,Oxford,Oxfordshire,Bloxham,Bloxham,"52 04 1 17W","52.06 -1.28","POINT(-1.28 52.06)"
IV1680-003-13,[E],seat-earl,Adderbury,Oxford,Oxfordshire,Bloxham,Bloxham,"52 04 1 17W","52.06 -1.28","POINT(-1.28 52.06)"
IV1680-003-14,ʘ,seat-gentleman,Adderley-Green,Stafford,Staffordshire,Totmonslow,Totmonslow,"53 05 1 56W","53.08 -1.93","POINT(-1.93 53.08)"
IV1680-003-15,⛪,parish,Addesham,Kent,Kent,"Augustine L.","St Augustine Lath","51 14 1 09E","51.23 1.15","POINT(1.15 51.23)"
IV1680-003-16,①,settlement-gentlemen-1,Addingham,"York W.R.","Yorkshire West Riding",Stancliff,Staincliffe,"54 00 1 36W","54 -1.6","POINT(-1.6 54)"
IV1680-003-17,⸸°,settlement-knight,Addington,Bucks,Buckinghamshire,Buckingham,Buckingham,"51 59 0 51W","51.98 -0.85","POINT(-0.85 51.98)"
IV1680-003-18,⸸°,settlement-knight,Addington,Surry,Surrey,Croydon,Croydon,"51 25 0 01E","51.41 0.01","POINT(0.01 51.41)"
IV1680-003-19,②,settlement-gentlemen-2,"Addington Magna",Northampton,Northamptonshire,Huxlow,Huxloe,"52 23 0 34W","52.38 -0.56","POINT(-0.56 52.38)"
IV1680-003-20,①,settlement-gentlemen-1,"Addington Parva",Northampton,Northamptonshire,Huxlow,Huxloe,"52 23 0 33W","52.38 -0.55","POINT(-0.55 52.38)"
IV1680-003-21,①,settlement-gentlemen-1,Addle,"York W.R.","Yorkshire West Riding",Shirack,Skyrack,"53 55 1 19W","53.91 -1.31","POINT(-1.31 53.91)"
IV1680-003-22,①,settlement-gentlemen-1,Addlesthorp,Glocester,Gloucestershire,Slaughter,Slaughter,"51 51 1 40W","51.85 -1.66","POINT(-1.66 51.85)"
IV1680-003-23,,,Addleston,Surry,Surrey,Chertsey,Blackheath,"51 25 0 23W","51.41 -0.38","POINT(-0.38 51.41)"
IV1680-003-24,⛪,parish,Addlethorp,Lincoln,Lincolnshire,Candleshow,Candleshoe,"53 17 0 24E","53.28 0.4","POINT(0.4 53.28)"
IV1680-003-25,⸸,seat-knight,"Aderthell House","York W.R.","Yorkshire West Riding",Strafford,Strafforth,"53 34 1 13W","53.56 -1.21","POINT(-1.21 53.56)"
IV1680-003-26,⛪,parish,Adingham,Cumberland,Cumberland,CumberlandW.,"Cumberland Ward","55 00 1 59W","55 -1.98","POINT(-1.98 55)"
IV1680-003-27,⛪,parish,Adlingfleet,"York W.R.","Yorkshire West Riding",Osgodcroß,Osgoldcross,"53 45 0 31W","53.75 -0.51","POINT(-0.51 53.75)"
IV1680-003-28,②,settlement-gentlemen-2,Adlington,Chester,Cheshire,Macclesfield,Macclesfield,"53 25 1 59W","53.41 -1.98","POINT(-1.98 53.41)"
IV1680-003-29,①,settlement-gentlemen-1,Adlington,Lancaster,Lancashire,Leyland,Leyland,"52 42 2 28W","52.7 -2.46","POINT(-2.46 52.7)"
IV1680-003-30,,,Admaston,Salop,Shropshire,"S. Bradford","South Bradford","52 46 2 29W","52.76 -2.48","POINT(-2.48 52.76)"
IV1680-003-31,,,Admaston,Stafford,Staffordshire,Pire-hill,Pirehill,"52 53 1 51W","52.88 -1.85","POINT(-1.85 52.88)"
IV1680-003-32,①,settlement-gentlemen-1,Admington,Glocester,Gloucestershire,Kistgate,Kiftsgate,"52 09 1 34W","52.15 -1.56","POINT(-1.56 52.15)"
IV1680-003-33,,,Adney,Salop,Shropshire,"S. Bradford","South Bradford","52 48 2 24W","52.8 -2.4","POINT(-2.4 52.8)"
IV1680-003-34,⛪,parish,Adonburgh,Nottingham,Nottinghamshire,Broxtow,Broxtow,"53 03 1 03W","53.05 -1.05","POINT(-1.05 53.05)"
IV1680-003-35,⛪,parish,Adrington,Devon,Devon,Branton,Braunton,"51 10 4 04W","51.16 -4.06","POINT(-4.06 51.16)"
IV1680-003-36,,,Adrington,Sussex,Sussex,"Arundel Rape","Arundel Rape","50 51 0 34W","50.85 -0.56","POINT(-0.56 50.85)"
IV1680-003-37,⸸°,settlement-knight,Adscomb,Surry,Surrey,Croydon,Croydon,"52 24 0 00W","52.4 -0","POINT(-0 52.4)"
IV1680-003-38,①,settlement-gentlemen-1,Adset,Glocester,Gloucestershire,Westbury,Westbury,"51 45 2 17W","51.75 -2.28","POINT(-2.28 51.75)"
IV1680-003-39,⛪,parish,Adstock,Bucks,Buckinghamshire,Buckingham,Buckingham,"51 59 0 51W","51.98 -0.85","POINT(-0.85 51.98)"
IV1680-003-40,✋°,settlement-baronet,Adston,Northampton,Northamptonshire,Norton,Norton,"52 13 1 03W","52.21 -1.05","POINT(-1.05 52.21)"
IV1680-003-41,①,settlement-gentlemen-1,Advene,Cornwal,Cornwall,Lesnewth,Lesnewth,"50 44 4 48W","50.73 -4.8","POINT(-4.8 50.73)"
IV1680-003-42,①,settlement-gentlemen-1,Adwalton,"York W.R.","Yorkshire West Riding",Morley,Morley,"53 50 1 23W","53.83 -1.38","POINT(-1.38 53.83)"
IV1680-003-43,⛪,parish,Adwel,Oxford,Oxfordshire,Lewknor,Lewknor,"51 42 0 52W","51.7 -0.86","POINT(-0.86 51.7)"
