IV1680-001-35,"settlement-gentlemen-1","Aberdaron","Carnarvonshire","Commitmaen","[52.45, -4.56]","[52.3173, -4.62932]","POINT(-4.62932 52.3173)"
IV1680-001-36,"parish","Aberdaron","Carnarvonshire","Commitmaen","[52.45, -4.56]","[52.3173, -4.62932]","POINT(-4.62932 52.3173)"
IV1680-001-37,"settlement-gentlemen-1","Aberdovey","Merionethshire","Estimaner","[52.63, -3.95]","[52.5362, -4.05981]","POINT(-4.05981 52.5362)"
IV1680-001-38,"settlement-gentlemen-1","Aberdow","Radnorshire","Colwyn","[52.15, -3.25]","[52.0942, -3.34296]","POINT(-3.34296 52.0942)"
IV1680-001-39,"parish","Aberech","Carnarvonshire","Dinlaen","[53.06, -4.25]","[52.8608, -4.37667]","POINT(-4.37667 52.8608)"
IV1680-001-40,"settlement-gentlemen-1|direction|market","ABERFORTH",""Yorkshire West Riding"","Skyrack","[53.88, -1.06]","[53.8298, -1.31976]","POINT(-1.31976 53.8298)"
IV1680-001-41,"settlement-gentlemen-1","Aberftaw","Anglesey","Menai","[53.41, -4.38]","[53.205, -4.49063]","POINT(-4.49063 53.205)"
IV1680-001-42,"settlement-gentlemen-1","Abergele","Denbighshire","Roose","[53.41, -3.43]","[53.2905, -3.6172]","POINT(-3.6172 53.2905)"
IV1680-001-43,"","Abergerlech","Carmarthenshire","Cathinog","[52.1, -4.01]","[51.9657, -4.05844]","POINT(-4.05844 51.9657)"
IV1680-001-44,"settlement-gentlemen-3+|direction|market","ABERGEVENNY","Monmouthshire","Abergavenny","[51.86, -2.98]","[51.8177, -3.02986]","POINT(-3.02986 51.8177)"
IV1680-001-45,"seat-gentleman",""Abergevenny Priory"","Monmouthshire","Abergavenny","[51.86, -2.98]","[51.8177, -3.02986]","POINT(-3.02986 51.8177)"
IV1680-001-46,"parish","Aberguilly","Carmarthenshire","Elvet","[51.95, -4.2]","[51.8569, -4.29365]","POINT(-4.29365 51.8569)"
IV1680-001-47,"seat-bishop",""Aberguilly House"","Carmarthenshire","Elvet","[51.95, -4.2]","[51.8569, -4.29365]","POINT(-4.29365 51.8569)"
IV1680-001-48,"parish","Aberhavesp","Montgomeryshire","Caereinion","[52.56, -3.35]","[52.5349, -3.38661]","POINT(-3.38661 52.5349)"
IV1680-001-49,"seat-gentleman",""Aberhavesp House"","Montgomeryshire","Caereinion","[52.56, -3.35]","[52.5349, -3.38661]","POINT(-3.38661 52.5349)"
IV1680-001-50,"settlement-gentlemen-1","Aberisker","Brecknockshire","Merthyr","[52.03, -3.4]","[51.9304, -3.40236]","POINT(-3.40236 51.9304)"
IV1680-001-51,"settlement-gentlemen-2|direction|market","ABERISTWITH","Cardiganshire","Llar","[52.51, -3.98]","[52.4239, -4.08626]","POINT(-4.08626 52.4239)"
IV1680-001-52,"settlement-gentlemen-2","Aberistwith","Monmouthshire","Abergavenny","[51.78, -3.03]","[51.7099, -3.03918]","POINT(-3.03918 51.7099)"
IV1680-001-53,"","Aberlevenny","Brecknockshire","Narberth","[52.35, -2.26]","[52.3145, -2.38505]","POINT(-2.38505 52.3145)"
IV1680-001-54,"settlement-gentlemen-1","Aberley","Worcestershire","Doddingtree","[52.35, -2.26]","[52.3145, -2.38505]","POINT(-2.38505 52.3145)"
IV1680-001-55,"seat-gentleman",""Aberley Lodg"","Worcestershire","Doddingtree","[52.35, -2.25]","[52.315, -2.3796]","POINT(-2.3796 52.315)"
IV1680-001-56,"seat-baronet","Abermarlas","Carmarthenshire","Cayo","[52.06, -3.88]","[51.971, -3.89177]","POINT(-3.89177 51.971)"
IV1680-001-57,"parish","Abernant","Carmarthenshire","Elvet","[51.93, -4.26]","[51.8439, -4.36934]","POINT(-4.36934 51.8439)"
IV1680-001-58,"settlement-gentlemen-1","Aberporth","Cardiganshire","Troedyraur","[52.25, -4.45]","[52.136, -4.54376]","POINT(-4.54376 52.136)"
IV1680-001-59,"settlement-gentlemen-1","Abertannot","Shropshire","Oswestry","[52.85, -3.1]","[52.755, -3.17932]","POINT(-3.17932 52.755)"
IV1680-001-60,"settlement-gentlemen-1",""Aberthaw East"","Glamorganshire",""Dinas Powis"","[51.48, -3.4]","[51.4205, -3.40169]","POINT(-3.40169 51.4205)"
IV1680-002-01,"settlement-gentlemen-1",""Aberthaw West"","Glamorganshire","Cowbridge","[51.98, -3.41]","[51.8859, -3.4362]","POINT(-3.4362 51.8859)"
IV1680-002-02,"settlement-gentlemen-1","Aberton","Essex","Winstree","[51.91, -0.93]","[51.8996, -1.01225]","POINT(-1.01225 51.8996)"
IV1680-002-03,"settlement-gentlemen-1",""Abinger Lower"","Surrey","Dorking","[51.23, -0.35]","[51.2132, -0.447345]","POINT(-0.447345 51.2132)"
IV1680-002-04,"settlement-gentlemen-1",""Abinger Upper"","Surrey","Dorking","[51.23, -0.33]","[51.2053, -0.413248]","POINT(-0.413248 51.2053)"
IV1680-002-05,"settlement-gentlemen-3+|parliament-2|direction|market","ABINGTON","Berkshire","Hormer","[51.68, -1.15]","[51.6716, -1.28782]","POINT(-1.28782 51.6716)"
IV1680-002-06,"settlement-gentlemen-1","Abington","Cambridgeshire","Armingford","[52.08, -0.11]","[52.0708, -0.109387]","POINT(-0.109387 52.0708)"
IV1680-002-07,"settlement-gentlemen-1",""Abington Magna"","Cambridgeshire","Chilford","[52.15, 0.2]","[52.1315, 0.272817]","POINT(0.272817 52.1315)"
IV1680-002-08,"settlement-gentlemen-1",""Abington Parva"","Cambridgeshire","Chilford","[52.15, 0.21]","[52.1305, 0.259404]","POINT(0.259404 52.1305)"
IV1680-002-09,"parish","Abingworth","Surrey","Godalming","[51.18, -0.56]","[51.1535, -0.643202]","POINT(-0.643202 51.1535)"
IV1680-002-10,"settlement-gentlemen-1","Abkettleby","Leicestershire","Framland","[52.86, -0.8]","[52.8056, -0.938801]","POINT(-0.938801 52.8056)"
IV1680-002-11,"settlement-gentlemen-1","Abington","Gloucestershire",""Brightwells Barrow"","[51.78, -1.75]","[51.7965, -1.81276]","POINT(-1.81276 51.7965)"
IV1680-002-12,"parish","Ablington","Wiltshire","Amesbury","[51.26, -1.73]","[51.221, -1.80179]","POINT(-1.80179 51.221)"
IV1680-002-13,"settlement-gentlemen-1","Abney","Derbyshire",""High Peak"","[53.4, -1.53]","[53.3299, -1.70464]","POINT(-1.70464 53.3299)"
